date,total_trade_amount,cash_trade_amount,cash_ratio,cash_model_percent,cash_vs_model_diff,total_securities,num_sleeves
2025-07-04,217718.6,32848.12,0.1509,12.92,2.17,47,3
2025-07-05,418089.9,107590.02,0.2573,19.0,6.73,6,9
2025-07-06,201824.88,59686.99,0.2957,33.97,-4.4,30,1
2025-07-07,298128.54,93287.64,0.3129,20.34,10.95,28,6
2025-07-08,158942.41,35372.79,0.2226,34.38,-12.12,6,6
2025-07-09,102887.92,16135.93,0.1568,15.32,0.36,58,7
2025-07-10,245702.87,27904.5,0.1136,14.64,-3.28,21,4
2025-07-11,494626.91,65691.37,0.1328,32.5,-19.22,42,2
2025-07-12,316359.89,50712.51,0.1603,19.75,-3.72,19,2
2025-07-13,126742.45,42170.62,0.3327,31.85,1.42,31,8
2025-07-14,157953.95,62108.09,0.3932,21.19,18.13,38,4
2025-07-15,12717.25,2794.21,0.2197,34.65,-12.68,42,2
2025-07-16,57548.7,12181.22,0.2117,33.89,-12.72,19,3
2025-07-17,401472.14,132323.7,0.3296,11.25,21.71,37,4
2025-07-18,449679.42,114086.08,0.2537,26.37,-1.0,47,6
2025-07-19,140783.85,31778.42,0.2257,7.02,15.55,12,9
2025-07-20,193403.17,24156.86,0.1249,8.16,4.33,6,8
2025-07-21,157298.97,42793.94,0.2721,13.44,13.77,25,4
2025-07-22,92377.22,19963.47,0.2161,21.47,0.14,33,2
2025-07-23,155398.34,29175.62,0.1877,30.14,-11.37,25,7
2025-07-24,477409.5,103574.03,0.217,31.37,-9.67,30,3
2025-07-25,437124.64,130506.44,0.2986,33.76,-3.9,47,6
2025-07-26,437710.67,76417.8,0.1746,32.89,-15.43,31,8
2025-07-27,470614.22,160691.54,0.3415,30.38,3.77,27,3
2025-07-28,145825.51,34824.28,0.2388,7.41,16.47,23,4
2025-07-29,187617.61,30276.75,0.1614,24.61,-8.47,12,8
2025-07-30,317857.93,123528.8,0.3886,13.44,25.42,51,8
2025-07-31,447116.99,27761.83,0.0621,19.74,-13.53,21,3
2025-08-01,282457.03,63608.33,0.2252,5.11,17.41,5,8
2025-08-02,367367.97,30496.05,0.083,26.2,-17.9,29,1
2025-08-03,274863.53,107610.66,0.3915,19.1,20.05,25,4
2025-08-04,261609.78,60862.02,0.2326,22.38,0.88,38,5
2025-08-05,181287.45,33802.13,0.1865,27.64,-8.99,25,9
2025-08-06,128687.71,48667.62,0.3782,32.24,5.58,44,8
2025-08-07,320972.65,46812.18,0.1458,11.18,3.4,41,1
2025-08-08,213789.31,68403.55,0.32,27.14,4.86,47,7
2025-08-09,217046.24,29466.54,0.1358,8.52,5.06,39,8
2025-08-10,305436.78,54204.52,0.1775,21.94,-4.19,57,5
2025-08-11,280715.4,63648.57,0.2267,7.48,15.19,19,5
2025-08-12,318177.82,81243.03,0.2553,26.68,-1.15,58,2
2025-08-13,490468.21,45360.45,0.0925,8.35,0.9,25,7
2025-08-14,228042.63,25968.34,0.1139,17.62,-6.23,56,5
2025-08-15,76791.53,8654.16,0.1127,21.54,-10.27,55,5
2025-08-16,221428.17,39015.15,0.1762,20.56,-2.94,45,1
2025-08-17,24433.93,1683.22,0.0689,8.51,-1.62,52,6
2025-08-18,220435.22,20982.22,0.0952,16.15,-6.63,49,1
2025-08-19,113219.79,22351.85,0.1974,11.54,8.2,11,9
2025-08-20,86713.2,10534.97,0.1215,19.51,-7.36,21,8
2025-08-21,43194.89,10083.62,0.2334,29.71,-6.37,51,8
2025-08-22,294783.18,92355.46,0.3133,16.87,14.46,58,5
2025-08-23,397482.71,131846.22,0.3317,10.0,23.17,28,5
2025-08-24,463456.33,76830.44,0.1658,14.15,2.43,10,8
2025-08-25,463204.28,46682.3,0.1008,25.4,-15.32,40,9
2025-08-26,434971.11,35313.25,0.0812,25.27,-17.15,59,6
2025-08-27,38225.58,7073.18,0.185,27.0,-8.5,51,5
2025-08-28,287870.16,16726.42,0.0581,5.52,0.29,51,9
2025-08-29,423610.3,152704.88,0.3605,14.02,22.03,52,1
2025-08-30,298278.85,25219.53,0.0846,7.89,0.57,42,1
2025-08-31,380801.95,37580.44,0.0987,16.17,-6.3,14,8
2025-09-01,420358.39,81378.44,0.1936,24.85,-5.49,29,7
2025-09-02,130113.99,7105.0,0.0546,5.72,-0.26,54,7
2025-09-03,203598.22,43629.58,0.2143,23.29,-1.86,53,4
2025-09-04,329555.4,43350.69,0.1315,28.24,-15.09,42,6
2025-09-05,310214.32,41436.63,0.1336,26.14,-12.78,14,4
2025-09-06,499470.02,32073.79,0.0642,24.37,-17.95,29,3
2025-09-07,122744.08,9996.42,0.0814,24.45,-16.31,12,8
2025-09-08,342266.7,23330.72,0.0682,13.83,-7.01,10,7
2025-09-09,150680.61,50279.06,0.3337,8.93,24.44,39,3
2025-09-10,452252.7,57777.53,0.1278,5.0,7.78,38,7
2025-09-11,460541.51,90001.9,0.1954,27.34,-7.8,27,8
2025-09-12,202228.99,70384.15,0.348,8.83,25.97,18,2
2025-09-13,253288.91,50438.3,0.1991,14.17,5.74,20,1
2025-09-14,430249.38,160411.52,0.3728,14.1,23.18,16,7
2025-09-15,301586.2,61663.35,0.2045,32.99,-12.54,49,5
2025-09-16,79185.47,19447.1,0.2456,12.18,12.38,42,2
2025-09-17,413460.43,35917.57,0.0869,23.81,-15.12,38,8
2025-09-18,266217.08,16474.52,0.0619,34.48,-28.29,40,5
2025-09-19,38880.34,10941.28,0.2814,16.35,11.79,44,6
2025-09-20,286195.65,87140.27,0.3045,25.13,5.32,10,6
2025-09-21,273455.09,82277.49,0.3009,15.8,14.29,5,1
2025-09-22,28782.49,6944.28,0.2413,30.86,-6.73,24,1
2025-09-23,96155.85,21984.28,0.2286,27.71,-4.85,28,5
2025-09-24,92066.0,21812.9,0.2369,16.57,7.12,35,1
2025-09-25,28322.13,8950.25,0.316,20.81,10.79,30,2
2025-09-26,149787.71,48484.18,0.3237,13.21,19.16,59,9
2025-09-27,434556.96,154455.61,0.3554,31.87,3.67,24,3
2025-09-28,437001.74,112205.74,0.2568,28.1,-2.42,50,8
2025-09-29,75757.46,20466.05,0.2702,11.55,15.47,59,5
2025-09-30,20954.46,1315.46,0.0628,6.16,0.12,17,4
2025-10-01,129051.47,27462.38,0.2128,18.05,3.23,25,8
2025-10-02,302792.09,84306.44,0.2784,26.31,1.53,43,4
2025-10-03,23496.04,1437.28,0.0612,26.04,-19.92,30,2
2025-10-04,480370.18,171418.48,0.3568,19.04,16.64,51,2
2025-10-05,234019.05,29961.74,0.128,16.3,-3.5,37,7
2025-10-06,104094.77,22527.54,0.2164,34.02,-12.38,41,2
2025-10-07,91388.16,28701.62,0.3141,34.36,-2.95,23,7
2025-10-08,220563.88,20638.79,0.0936,12.3,-2.94,26,5
2025-10-09,442922.49,108121.08,0.2441,21.58,2.83,55,3
2025-10-10,337159.5,35845.72,0.1063,20.56,-9.93,51,3
2025-10-11,235957.56,68359.74,0.2897,15.09,13.88,40,7
2025-10-12,332796.13,39470.72,0.1186,7.95,3.91,11,5
2025-10-13,314450.9,17592.59,0.0559,11.77,-6.18,57,1
2025-10-14,130375.19,25939.81,0.199,32.67,-12.77,20,9
2025-10-15,304350.63,83765.13,0.2752,31.01,-3.49,41,8
2025-10-16,205811.11,30294.95,0.1472,26.5,-11.78,43,4
2025-10-17,90035.47,35514.03,0.3944,11.83,27.61,12,7
2025-10-18,297931.72,115769.31,0.3886,24.73,14.13,42,4
2025-10-19,264198.56,83917.43,0.3176,8.18,23.58,21,9
2025-10-20,476719.55,107037.93,0.2245,14.85,7.6,16,3
2025-10-21,403883.22,74245.68,0.1838,28.11,-9.73,40,3
2025-10-22,160120.75,27120.4,0.1694,5.13,11.81,26,5
2025-10-23,416746.75,46183.87,0.1108,16.68,-5.6,5,4
2025-10-24,111323.74,16144.41,0.145,19.53,-5.03,16,2
2025-10-25,231220.44,71797.4,0.3105,23.74,7.31,6,9
2025-10-26,268265.95,69170.57,0.2578,21.94,3.84,20,9
2025-10-27,17357.91,6208.92,0.3577,6.92,28.85,36,4
2025-10-28,497359.09,112112.91,0.2254,11.28,11.26,7,8
2025-10-29,315833.49,89641.58,0.2838,10.18,18.2,43,2
2025-10-30,232228.37,55256.43,0.2379,21.91,1.88,44,7
2025-10-31,279967.1,93693.73,0.3347,30.8,2.67,57,1
2025-11-01,138001.29,23121.23,0.1675,29.05,-12.3,41,1
2025-11-02,44291.27,10264.42,0.2317,25.83,-2.66,29,7
2025-11-03,463025.27,74964.69,0.1619,31.38,-15.19,29,2
2025-11-04,266701.54,85113.94,0.3191,23.56,8.35,35,6
2025-11-05,302591.42,95201.62,0.3146,21.11,10.35,46,4
2025-11-06,419770.71,49466.64,0.1178,15.12,-3.34,52,1
2025-11-07,147199.98,41242.65,0.2802,14.73,13.29,21,2
2025-11-08,421602.4,149263.9,0.354,22.57,12.83,7,7
2025-11-09,281661.94,110266.41,0.3915,27.66,11.49,12,6
2025-11-10,397686.7,25190.86,0.0633,20.85,-14.52,48,2
2025-11-11,119554.02,15431.22,0.1291,30.55,-17.64,53,6
2025-11-12,483658.28,120352.69,0.2488,14.61,10.27,6,8
2025-11-13,450701.89,103565.78,0.2298,8.43,14.55,50,7
2025-11-14,171985.23,63998.4,0.3721,33.43,3.78,7,5
2025-11-15,67624.98,26128.91,0.3864,7.52,31.12,54,7
2025-11-16,341984.79,88393.94,0.2585,15.62,10.23,29,6
2025-11-17,476537.62,124482.06,0.2612,20.96,5.16,24,4
2025-11-18,269232.65,56102.18,0.2084,30.35,-9.51,16,8
2025-05-23,181918.39,59124.17,0.325,7.72,24.78,22,7
2025-05-24,166332.49,61197.98,0.3679,16.7,20.09,58,9
2025-05-25,221817.53,55669.56,0.251,16.04,9.06,8,8
2025-05-26,387728.2,78581.97,0.2027,16.79,3.48,21,3
2025-05-27,185128.21,38124.39,0.2059,27.27,-6.68,47,8
2025-05-28,364498.14,71351.54,0.1958,32.54,-12.96,30,5
2025-05-29,471318.83,106582.44,0.2261,15.47,7.14,24,6
2025-05-30,122584.16,14553.35,0.1187,33.8,-21.93,24,7
2025-05-31,326806.45,62396.0,0.1909,16.79,2.3,12,2
2025-06-01,474020.3,64723.81,0.1365,26.54,-12.89,29,1
2025-06-02,471246.12,97553.39,0.207,27.33,-6.63,15,3
2025-06-03,53657.02,20561.57,0.3832,20.82,17.5,24,7
2025-06-04,282384.15,74139.31,0.2625,29.07,-2.82,19,3
2025-06-05,412643.16,27137.0,0.0658,25.18,-18.6,10,5
2025-06-06,59855.56,20640.33,0.3448,23.43,11.05,9,8
2025-06-07,301288.89,65513.93,0.2174,12.0,9.74,38,3
2025-06-08,456826.15,73427.94,0.1607,10.23,5.84,19,3
2025-06-09,289483.32,75239.52,0.2599,17.06,8.93,30,4
2025-06-10,452557.08,81081.76,0.1792,17.86,0.06,51,9
2025-06-11,283356.25,48892.8,0.1725,10.86,6.39,58,5
2025-06-12,49788.42,17228.26,0.346,16.51,18.09,10,4
2025-06-13,119402.53,17175.28,0.1438,10.83,3.55,32,7
2025-06-14,340472.69,89530.64,0.263,16.57,9.73,16,5
2025-06-15,97700.74,9073.97,0.0929,31.12,-21.83,30,6
2025-06-16,166358.3,50205.66,0.3018,33.93,-3.75,8,5
2025-06-17,172341.16,19867.41,0.1153,27.51,-15.98,31,1
2025-06-18,201658.17,22772.7,0.1129,15.94,-4.65,14,2
2025-06-19,197233.5,13391.01,0.0679,17.8,-11.01,18,9
2025-06-20,24745.88,4174.25,0.1687,29.63,-12.76,25,2
2025-06-21,413383.54,138943.15,0.3361,24.08,9.53,57,9
2025-06-22,182615.7,60395.85,0.3307,16.94,16.13,28,5
2025-06-23,294750.27,52323.95,0.1775,7.4,10.35,10,7
2025-06-24,445883.77,92886.14,0.2083,34.82,-13.99,37,1
2025-06-25,132477.61,22877.39,0.1727,15.29,1.98,18,3
2025-06-26,16241.41,5150.87,0.3171,17.49,14.22,13,4
2025-06-27,245746.36,50924.63,0.2072,19.92,0.8,32,6
2025-06-28,208279.15,48192.66,0.2314,23.7,-0.56,21,1
2025-06-29,301364.74,16855.91,0.0559,20.61,-15.02,49,8
2025-06-30,208223.89,70647.36,0.3393,14.79,19.14,51,2
2025-07-01,221856.19,41014.39,0.1849,25.03,-6.54,22,4
2025-07-02,492691.23,195763.05,0.3973,16.07,23.66,53,9
2025-07-03,281467.58,45032.39,0.16,29.75,-13.75,50,8
2025-07-04,180101.57,9267.84,0.0515,13.85,-8.7,48,4
2025-07-05,252569.42,38166.15,0.1511,24.2,-9.09,48,1
2025-07-06,27661.98,4468.01,0.1615,19.67,-3.52,56,2
2025-07-07,403683.85,142586.85,0.3532,17.69,17.63,46,2
2025-07-08,43625.46,16377.85,0.3754,26.19,11.35,8,7
2025-07-09,309691.86,111296.84,0.3594,29.29,6.65,17,2
2025-07-10,204876.64,42322.55,0.2066,31.2,-10.54,54,8
2025-07-11,425987.9,144802.5,0.3399,16.82,17.17,38,5
2025-07-12,205258.78,80809.69,0.3937,7.4,31.97,46,7
2025-07-13,468728.25,62094.03,0.1325,9.47,3.78,24,2
2025-07-14,342017.05,53880.84,0.1575,25.08,-9.33,16,7
2025-07-15,441540.42,33079.34,0.0749,9.51,-2.02,24,7
2025-07-16,10058.85,3396.22,0.3376,15.69,18.07,25,3
2025-07-17,31676.23,3903.86,0.1232,7.12,5.2,20,5
2025-07-18,250860.39,92976.88,0.3706,23.82,13.24,52,2
2025-07-19,50234.23,7554.0,0.1504,34.75,-19.71,21,2
2025-07-20,396030.54,24303.94,0.0614,7.52,-1.38,54,5
2025-07-21,155878.92,31634.02,0.2029,30.52,-10.23,27,8
2025-07-22,259299.76,91165.52,0.3516,29.65,5.51,14,9
2025-07-23,100807.74,29039.2,0.2881,7.35,21.46,5,4
2025-07-24,42635.43,5434.06,0.1275,33.45,-20.7,34,7
2025-07-25,291119.36,42034.48,0.1444,18.2,-3.76,18,7
2025-07-26,263141.99,18126.41,0.0689,6.45,0.44,37,9
2025-07-27,421614.48,80416.6,0.1907,24.01,-4.94,9,6
2025-07-28,422882.1,51584.84,0.122,18.05,-5.85,49,7
2025-07-29,62199.18,4667.8,0.075,21.61,-14.11,41,3
2025-07-30,76453.29,16398.02,0.2145,30.83,-9.38,41,5
2025-07-31,192972.22,12290.74,0.0637,22.52,-16.15,50,5
2025-08-01,327236.55,47623.1,0.1455,27.71,-13.16,43,8
2025-08-02,55682.55,5183.17,0.0931,5.29,4.02,23,2
2025-08-03,15637.97,5239.93,0.3351,20.83,12.68,30,9
2025-08-04,346165.86,122744.17,0.3546,31.45,4.01,26,5
2025-08-05,255241.6,96627.3,0.3786,5.63,32.23,29,8
2025-08-06,472680.77,135404.69,0.2865,29.33,-0.68,11,9
2025-08-07,413094.47,42557.05,0.103,27.26,-16.96,38,6
2025-08-08,284262.34,44900.81,0.158,11.23,4.57,46,8
2025-08-09,270366.79,31482.66,0.1164,12.6,-0.96,31,7
2025-08-10,33114.9,4349.31,0.1313,5.04,8.09,32,4
2025-08-11,251976.13,14310.35,0.0568,5.23,0.45,21,4
2025-08-12,257843.41,19091.41,0.074,7.71,-0.31,36,8
2025-08-13,112848.13,24815.7,0.2199,19.01,2.98,50,6
2025-08-14,123535.62,38416.15,0.311,13.94,17.16,59,3
2025-08-15,18942.45,3298.28,0.1741,29.78,-12.37,9,1
2025-08-16,357948.87,109194.89,0.3051,5.77,24.74,54,6
2025-08-17,78114.6,23521.3,0.3011,16.38,13.73,55,3
2025-08-18,344952.79,71454.56,0.2071,12.54,8.17,45,2
2025-08-19,494455.82,34637.05,0.0701,14.67,-7.66,45,3
2025-08-20,151218.63,52323.99,0.346,34.32,0.28,24,1
2025-08-21,477770.21,83830.09,0.1755,19.65,-2.1,16,3
2025-08-22,390219.27,52729.5,0.1351,7.91,5.6,43,8
2025-08-23,376059.46,131778.3,0.3504,16.52,18.52,26,3
2025-08-24,364877.37,91517.1,0.2508,32.85,-7.77,10,7
2025-08-25,202602.05,76295.24,0.3766,21.8,15.86,16,9
2025-08-26,486586.0,180369.63,0.3707,34.14,2.93,44,5
2025-08-27,309683.58,38825.04,0.1254,12.4,0.14,59,4
2025-08-28,414812.66,112310.13,0.2707,30.84,-3.77,29,4
2025-08-29,402760.8,87926.62,0.2183,17.59,4.24,54,1
2025-08-30,255140.69,23186.4,0.0909,32.63,-23.54,39,8
2025-08-31,53414.92,7259.49,0.1359,11.12,2.47,10,7
2025-09-01,174004.23,25247.08,0.1451,9.07,5.44,16,9
2025-09-02,128985.56,15808.26,0.1226,5.66,6.6,31,6
2025-09-03,309279.42,94252.91,0.3048,21.3,9.18,28,7
2025-09-04,380293.05,149281.76,0.3925,26.49,12.76,35,3
2025-09-05,499608.62,75448.26,0.151,18.48,-3.38,20,7
2025-09-06,455998.24,26098.42,0.0572,14.74,-9.02,58,2
2025-09-07,50025.48,2677.86,0.0535,30.82,-25.47,11,2
2025-09-08,408128.63,107858.03,0.2643,5.2,21.23,18,3
2025-09-09,289599.71,28227.67,0.0975,25.75,-16.0,31,4
2025-09-10,114736.96,43488.1,0.379,11.65,26.25,28,4
2025-09-11,237347.86,36204.61,0.1525,16.66,-1.41,31,4
2025-09-12,486110.7,52266.01,0.1075,19.78,-9.03,11,2
2025-09-13,403649.14,133660.5,0.3311,26.14,6.97,47,3
2025-09-14,149172.29,56499.53,0.3788,18.58,19.3,44,8
2025-09-15,18971.44,4388.23,0.2313,25.67,-2.54,40,9
2025-09-16,472784.79,64809.01,0.1371,5.65,8.06,40,9
2025-09-17,426131.7,101352.62,0.2378,31.79,-8.01,7,3
2025-09-18,284480.38,109520.34,0.385,13.98,24.52,56,2
2025-09-19,121953.67,23108.72,0.1895,6.7,12.25,17,2
2025-09-20,416202.3,153718.75,0.3693,16.75,20.18,8,6
2025-09-21,291590.14,113831.26,0.3904,26.75,12.29,5,5
2025-09-22,386605.9,148823.12,0.3849,29.49,9.0,43,5
2025-09-23,345015.7,55051.39,0.1596,19.85,-3.89,56,5
2025-09-24,476314.6,38795.37,0.0814,6.92,1.22,22,2
2025-09-25,286233.51,35506.75,0.124,18.85,-6.45,36,5
2025-09-26,491286.17,48628.98,0.099,29.2,-19.3,14,8
2025-09-27,297373.63,79350.66,0.2668,6.16,20.52,31,2
2025-09-28,435551.63,169898.42,0.3901,12.89,26.12,55,2
2025-09-29,63085.63,18100.34,0.2869,21.99,6.7,26,6
2025-09-30,212329.52,69788.49,0.3287,15.69,17.18,31,2
2025-10-01,459910.47,35564.94,0.0773,30.57,-22.84,43,6
2025-10-02,37106.55,14262.95,0.3844,30.0,8.44,44,4
2025-10-03,458666.05,170797.84,0.3724,11.57,25.67,46,6
2025-10-04,441901.83,92732.83,0.2098,29.94,-8.96,31,3
2025-10-05,379882.9,125986.25,0.3316,7.43,25.73,42,2
2025-10-06,410452.79,106065.81,0.2584,26.24,-0.4,22,1
2025-10-07,240574.58,24436.84,0.1016,20.0,-9.84,35,9
2025-10-08,283614.25,27431.04,0.0967,29.89,-20.22,50,5
2025-10-09,28303.94,9388.66,0.3317,30.96,2.21,30,4
2025-10-10,195510.97,15487.93,0.0792,29.85,-21.93,7,8
2025-10-11,178308.48,29368.71,0.1647,32.36,-15.89,35,9
2025-10-12,389579.38,91000.43,0.2336,22.73,0.63,22,3
2025-10-13,159918.36,35442.59,0.2216,13.2,8.96,33,5
2025-10-14,386720.3,103997.47,0.2689,25.42,1.47,32,5
2025-10-15,35940.28,4299.54,0.1196,26.73,-14.77,43,8
2025-10-16,316247.69,84511.0,0.2672,26.62,0.1,35,6
2025-10-17,493359.09,56313.3,0.1141,6.19,5.22,42,1
2025-10-18,26547.1,6229.7,0.2347,28.3,-4.83,34,1
2025-10-19,11582.65,1288.14,0.1112,33.46,-22.34,52,1
2025-10-20,246515.27,92545.37,0.3754,7.34,30.2,57,3
2025-10-21,37259.72,3847.62,0.1033,9.77,0.56,27,2
2025-10-22,153257.01,38569.75,0.2517,24.92,0.25,47,5
2025-10-23,24413.38,4467.87,0.183,8.22,10.08,32,7
2025-10-24,337671.04,88097.83,0.2609,12.21,13.88,44,1
2025-10-25,101538.83,19413.19,0.1912,9.37,9.75,16,3
2025-10-26,101032.27,9887.43,0.0979,11.99,-2.2,38,9
2025-10-27,458001.51,112091.25,0.2447,28.9,-4.43,22,7
2025-10-28,369221.51,130314.61,0.3529,24.07,11.22,59,1
2025-10-29,405999.71,80125.44,0.1974,28.62,-8.88,33,5
2025-10-30,372564.37,115746.26,0.3107,27.66,3.41,48,9
2025-10-31,15493.78,6114.57,0.3946,27.23,12.23,31,9
2025-11-01,424600.82,61639.1,0.1452,34.36,-19.84,9,1
2025-11-02,107670.76,15570.08,0.1446,31.92,-17.46,41,6
2025-11-03,102353.81,26918.26,0.263,9.41,16.89,6,8
2025-11-04,292017.15,75551.86,0.2587,12.52,13.35,9,9
2025-11-05,485517.37,71497.34,0.1473,30.96,-16.23,36,3
2025-11-06,180974.29,58799.49,0.3249,9.12,23.37,29,8
2025-11-07,94288.91,12102.86,0.1284,7.7,5.14,35,6
2025-11-08,157441.63,48048.19,0.3052,7.79,22.73,15,7
2025-11-09,249992.95,57435.8,0.2297,14.36,8.61,22,1
2025-11-10,148235.48,52763.32,0.3559,17.2,18.39,29,5
2025-11-11,243692.74,70883.48,0.2909,27.14,1.95,43,5
2025-11-12,105463.13,37315.77,0.3538,13.65,21.73,47,7
2025-11-13,43332.21,8560.4,0.1976,31.4,-11.64,27,1
2025-11-14,182755.29,17894.06,0.0979,27.11,-17.32,43,9
2025-11-15,370085.45,34653.9,0.0936,25.8,-16.44,19,7
2025-11-16,55135.95,22044.23,0.3998,26.72,13.26,32,6
2025-11-17,239457.41,22361.11,0.0934,21.23,-11.89,47,6
2025-11-18,241892.45,22700.41,0.0938,7.26,2.12,27,3
2025-05-23,31230.43,4125.83,0.1321,14.33,-1.12,49,8
2025-05-24,209096.82,34860.12,0.1667,7.07,9.6,51,3
2025-05-25,130294.35,18126.04,0.1391,26.89,-12.98,21,8
2025-05-26,349286.6,106748.05,0.3056,18.79,11.77,8,4
2025-05-27,362559.71,134066.07,0.3698,15.99,20.99,52,2
2025-05-28,373540.17,25742.43,0.0689,6.67,0.22,59,9
2025-05-29,90406.36,9160.11,0.1013,21.35,-11.22,8,2
2025-05-30,282330.28,53989.82,0.1912,32.05,-12.93,40,2
2025-05-31,200630.49,64287.03,0.3204,9.7,22.34,47,6
2025-06-01,368323.71,85799.0,0.2329,32.09,-8.8,45,6
2025-06-02,404023.88,138313.9,0.3423,26.62,7.61,31,7
2025-06-03,252109.05,80463.43,0.3192,7.99,23.93,58,3
2025-06-04,277095.62,44511.25,0.1606,16.7,-0.64,40,7
2025-06-05,127755.15,45882.31,0.3591,6.74,29.17,51,2
2025-06-06,68362.54,24554.88,0.3592,21.22,14.7,5,3
2025-06-07,490521.42,187858.29,0.383,28.96,9.34,44,1
2025-06-08,239028.61,47855.45,0.2002,8.06,11.96,48,8
2025-06-09,371358.62,76726.26,0.2066,19.72,0.94,5,1
2025-06-10,275010.78,25994.7,0.0945,9.91,-0.46,17,5
2025-06-11,23440.38,8687.12,0.3706,15.15,21.91,54,1
2025-06-12,163223.04,42047.75,0.2576,33.13,-7.37,41,8
2025-06-13,464210.19,180811.38,0.3895,6.52,32.43,50,1
2025-06-14,456189.0,167671.28,0.3675,11.4,25.35,19,1
2025-06-15,329838.08,94175.88,0.2855,14.69,13.86,14,3
2025-06-16,87737.44,10280.17,0.1172,18.36,-6.64,25,4
2025-06-17,470356.17,26590.78,0.0565,31.89,-26.24,55,3
2025-06-18,335851.79,17565.57,0.0523,12.59,-7.36,10,3
2025-06-19,121701.12,44371.83,0.3646,29.74,6.72,59,3
2025-06-20,408602.72,141881.98,0.3472,13.45,21.27,44,4
2025-06-21,59450.24,21298.79,0.3583,19.83,16.0,51,4
2025-06-22,214912.39,83734.8,0.3896,17.71,21.25,33,2
2025-06-23,487419.57,35001.12,0.0718,31.23,-24.05,27,7
2025-06-24,449602.28,98507.35,0.2191,29.74,-7.83,14,7
2025-06-25,215874.13,33034.36,0.153,16.72,-1.42,29,9
2025-06-26,220102.75,38521.97,0.175,19.59,-2.09,50,3
2025-06-27,448640.9,155296.23,0.3461,22.18,12.43,43,8
2025-06-28,270100.42,45358.15,0.1679,11.57,5.22,55,9
2025-06-29,298749.66,35944.52,0.1203,22.62,-10.59,16,9
2025-06-30,432578.89,159627.35,0.369,9.38,27.52,50,6
2025-07-01,368358.63,59033.23,0.1603,17.4,-1.37,7,4
2025-07-02,87670.99,5135.65,0.0586,7.84,-1.98,48,5
2025-07-03,90089.7,12666.18,0.1406,25.27,-11.21,55,6
2025-07-04,447656.9,50322.1,0.1124,25.24,-14.0,40,9
2025-07-05,487467.07,41074.37,0.0843,31.34,-22.91,17,3
